time_iso8601,stars_cumulative
2020-06-09 00:00:00+00:00,1819
2020-06-10 00:00:00+00:00,1822
2020-06-11 00:00:00+00:00,1824
2020-06-12 00:00:00+00:00,1825
2020-06-13 00:00:00+00:00,1827
2020-06-15 00:00:00+00:00,1828
2020-06-17 00:00:00+00:00,1829
2020-06-18 00:00:00+00:00,1830
2020-06-19 00:00:00+00:00,1831
2020-06-21 00:00:00+00:00,1835
2020-06-22 00:00:00+00:00,1840
2020-06-24 00:00:00+00:00,1841
2020-06-28 00:00:00+00:00,1843
2020-06-30 00:00:00+00:00,1853
2020-07-01 00:00:00+00:00,1858
2020-07-02 00:00:00+00:00,1860
2020-07-03 00:00:00+00:00,1861
2020-07-04 00:00:00+00:00,1862
2020-07-06 00:00:00+00:00,1865
2020-07-07 00:00:00+00:00,1867
2020-07-08 00:00:00+00:00,1869
2020-07-09 00:00:00+00:00,1870
2020-07-10 00:00:00+00:00,1873
2020-07-11 00:00:00+00:00,1883
2020-07-12 00:00:00+00:00,1886
2020-07-13 00:00:00+00:00,1889
2020-07-14 00:00:00+00:00,1893
2020-07-15 00:00:00+00:00,1896
2020-07-16 00:00:00+00:00,1900
2020-07-17 00:00:00+00:00,1904
2020-07-19 00:00:00+00:00,1906
2020-07-21 00:00:00+00:00,1909
2020-07-22 00:00:00+00:00,1912
2020-07-23 00:00:00+00:00,1915
2020-07-24 00:00:00+00:00,1918
2020-07-25 00:00:00+00:00,1919
2020-07-27 00:00:00+00:00,1920
2020-07-28 00:00:00+00:00,1922
2020-07-29 00:00:00+00:00,1925
2020-07-30 00:00:00+00:00,1929
2020-07-31 00:00:00+00:00,1933
2020-08-01 00:00:00+00:00,1934
2020-08-03 00:00:00+00:00,1947
2020-08-04 00:00:00+00:00,1967
2020-08-05 00:00:00+00:00,1976
2020-08-06 00:00:00+00:00,1984
2020-08-07 00:00:00+00:00,1989
2020-08-08 00:00:00+00:00,1990
2020-08-10 00:00:00+00:00,1994
2020-08-11 00:00:00+00:00,1997
2020-08-12 00:00:00+00:00,2001
2020-08-13 00:00:00+00:00,2004
2020-08-14 00:00:00+00:00,2008
